Track,Name,Min,Sec,Secs,Minusecs,Version,Roman,Rev
1,Alone again,4,10,250,-250,Standard,I,17
2,Too late,3,59,239,-239,Standard,II,16
3,Hardest to love,3,31,211,-211,Standard,III,15
4,Scared to live,3,11,191,-191,Standard,IV,14
5,Snowchild,4,7,247,-247,Standard,V,13
6,Escape from LA,5,55,355,-355,Standard,VI,12
7,Heartless,3,18,198,-198,Standard,VII,11
8,Faith,4,43,283,-283,Standard,VIII,10
9,Blinding lights,3,21,201,-201,Standard,IX,9
10,In your eyes,3,57,237,-237,Standard,X,8
11,Save your tears,3,35,215,-215,Standard,XI,7
12,Repeat after me,3,15,195,-195,Standard,XII,6
13,After hours,6,1,361,-361,Standard,XIII,5
14,Until I bleed out,3,12,192,-192,Standard,XIV,4
15,Nothing compares,3,42,222,-222,Deluxe,XV,3
16,Missed you,2,24,144,-144,Deluxe,XVI,2
17,Final lullaby,3,5,185,-185,Deluxe,XVII,1